 Glomalin+GOE-1mM NaCl pH6.5,,,, Glomalin+GOE-10mM NaCl pH6.5,,,, Glomalin+GOE-100mM NaCl pH6.5,,,, HA+GOE-1mM NaCl pH6.5,,,, HA+GOE-10mM NaCl pH6.5,,,, HA+GOE-100mM NaCl pH6.5,,,, BSA+GOE-1mM NaCl pH6.5,,,, BSA+GOE-10mM NaCl pH6.5,,,, BSA+GOE-100mM NaCl pH6.5,,
,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy
28,0.9363,127.31,,28,0.8962,92.14,,28,0.6405,92.02,,28,0.7811,55.3,,28,0.6088,37.1,,28,0.1896,12.18,,,,,,28,0.3406,34.8,,,,
29,0.9006,72.72,,29,0.7349,56.46,,29,0.8434,51.88,,29,0.6929,41.01,,29,0.6056,17.49,,29,0.1984,11.16,,,,,,29,0.4375,38.79,,,,
30,1.067,202.25,,30,0.9428,128.99,,30,0.6243,61.5,,30,0.744,44.34,,30,0.6767,28.84,,30,0.1966,15.83,,,,,,30,0.438,51.96,,,,
31,3.076,434.57,,31,1.277,134.22,,31,0.6296,72.65,,31,1.035,48.89,,31,0.83,24.76,,31,0.1997,9.64,,,,,,,,,,,,
32,1.344,242.71,,32,0.5974,71.78,,32,0.3721,67.86,,32,0.9087,60.11,,32,0.6555,62.17,,32,0.2673,12.96,,,,,,,,,,,,
33,0.9567,180.97,,33,0.5313,62.15,,33,0.5265,40.19,,33,0.877,80.16,,33,0.8188,52.23,,33,0.3229,11.01,,,,,,,,,,,,
34,1.73,308.01,,34,0.7705,69.51,,34,0.7677,78.08,,34,0.6779,65.7,,34,0.7386,41.07,,34,0.2439,7.32,,,,,,,,,,,,
35,2.167,331.21,,35,0.7612,38.35,,35,0.6785,58.14,,35,0.7458,74.13,,35,0.877,79.15,,35,0.2094,11.36,,,,,,,,,,,,
36,1.533,290.06,,36,0.786,128.67,,36,0.6296,70.11,,36,0.7224,95.72,,36,0.4554,53.71,,36,0.2008,13.61,,,,,,,,,,,,
37,2.498,329.2,,37,0.6033,82.9,,37,0.6956,67.81,,37,0.98,94.71,,37,0.5865,87.03,,37,0.2387,7.7,,,,,,,,,,,,
38,1.417,260.57,,38,0.7548,84.75,,38,0.5538,49.47,,38,0.8618,78.81,,38,0.5048,95.18,,38,0.3173,4.22,,,,,,,,,,,,
39,1.443,223.57,,39,0.5997,60.47,,39,0.6443,92.02,,39,0.78,88.02,,39,0.3721,58.02,,39,0.2682,6.08,,,,,,,,,,,,
40,2.044,294.86,,40,0.917,107.29,,40,0.6785,58.14,,40,1.055,88.73,,40,0.8272,96.98,,40,0.2944,6.95,,,,,,,,,,,,
41,1.539,148.84,,41,0.8272,104.1,,,,,,41,0.4134,44.43,,41,0.658,22.47,,41,0.3552,8.68,,,,,,,,,,,,
42,0.8593,98.98,,42,0.8005,128.67,,,,,,42,0.5005,26.8,,42,0.546,37.73,,42,0.4223,5.61,,,,,,,,,,,,
43,0.4065,76.11,,43,0.5066,69.72,,,,,,43,0.4777,36.22,,43,0.493,21.24,,43,0.4087,8.52,,,,,,,,,,,,
44,0.3922,76.1,,44,0.5187,67.46,,,,,,44,0.2888,20.13,,44,0.4164,22.23,,44,0.3637,9.47,,,,,,,,,,,,
45,1.319,113.44,,,,,,,,,,45,0.5334,35.29,,,,,,,,,,,,,,,,,,,,
46,0.7856,105.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
