 Glomalin+GOE pH6.5,,,, Glomalin-mut+GOE pH6.5,,,,Hsp60+GOE pH6.5,,,,Hsp60-mut+GOE pH6.5,,,,,, Glomalin+MnO2 pH6.5,,,, Glomalin-mut+MnO2 pH6.5,,,,Hsp60+MnO2 pH6.5,,,,Hsp60-mut+MnO2 pH6.5,,,,, Glomalin+MMT pH6.5,,,, Glomalin-mut+MMT pH6.5,,,,Hsp60+MMT pH6.5,,,,Hsp60-mut+MMT pH6.5,,
,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy
19,1.248,176,,19,1.107,105.25,,19,0.8978,147.38,,19,0.11,3.60 ,,,,19,0.9169,141.96,,19,0.8314,75.93,,19,0.5242,21.13,,19,0.7008,58.35,,,19,0.8526,105.7,,19,0.2969,17.14 ,,19,0.4404,35.01,,19,0.11,3.60 
20,1.341,123.67,,20,0.8878,109.4,,20,0.9119,147.38,,20,0.3555,8.61 ,,,,20,0.8563,134.42,,20,0.7008,58.35,,20,0.2907,18.42,,20,0.5888,40.82,,,20,0.7338,10.05,,20,0.3555,7.16 ,,20,0.3555,8.48,,20,0.3555,8.61 
21,1.442,123.73,,21,1.132,195.23,,21,0.6593,36.62,,21,0.4485,30.08 ,,,,21,0.8792,48.41,,21,0.5888,39.45,,21,0.4704,15.57,,21,0.7743,133.45,,,21,0.3806,34.39,,21,0.4485,30.40 ,,21,0.5982,62.38,,21,0.4485,30.08 
22,1.413,136.98,,22,1.302,151.37,,22,1.036,104.99,,22,0.3106,12.62 ,,,,22,0.9213,33.94,,22,0.7008,56.8,,22,0.6461,25.67,,22,0.712,62.77,,,22,0.5614,29.53,,22,0.3106,12.62 ,,22,0.4586,14.7,,22,0.3106,12.62 
23,0.7854,71.17,,23,1.107,105.25,,23,0.2898,14.93,,23,0.5614,46.63 ,,,,23,1.325,56.29,,23,0.7234,63.62,,23,0.4116,22.02,,23,0.846,80.07,,,23,0.4387,9.29,,23,0.6282,84.61 ,,23,0.5491,49.08,,23,0.5614,46.63 
24,1.088,70.12,,24,1.021,105.25,,24,0.9414,43.02,,24,0.4145,9.28 ,,,,24,0.9946,55.99,,24,0.635,91.38,,24,0.3572,20.9,,24,0.7585,45.05,,,24,0.4658,10.11,,24,0.4145,9.29 ,,24,0.4595,53.28,,24,0.4145,9.28 
25,0.8374,85.95,,25,1.08,131.96,,25,0.4744,37.25,,25,0.3093,9.21 ,,,,25,1.231,79.18,,25,0.5556,52.28,,25,0.5452,23.42,,25,0.7683,106.11,,,25,0.5321,29.43,,25,0.3093,9.92 ,,25,0.3981,38.33,,25,0.3093,9.21 
26,1.302,151.17,,26,0.8222,97.73,,26,0.8222,108.61,,26,0.3619,34.81 ,,,,26,1.01,36.58,,26,0.7691,63.27,,26,0.3929,22.31,,26,0.9932,73.28,,,26,0.4548,19.03,,26,0.3731,29.19 ,,26,0.8225,76.79,,26,0.3619,34.81 
27,1.275,123.73,,27,1.06,153.32,,27,0.5392,26.96,,27,0.6173,68.56 ,,,,27,0.8225,37.1,,27,0.6497,56.85,,27,0.4805,21.94,,27,0.8569,82.87,,,27,0.5696,62.38,,27,0.6173,68.56 ,,27,0.2633,14.12,,27,0.6173,68.56 
28,1.343,126.9,,28,0.8569,83.26,,28,0.8807,106.51,,28,0.3619,35.07 ,,,,28,0.6887,23.81,,28,0.6593,36.56,,28,0.4169,24.38,,28,1.12,103.84,,,28,0.4248,36.65,,28,0.3731,35.07 ,,28,0.8617,47.77,,28,0.3619,35.07 
