Wavenumbers (cm-1),Glomalin,HA,BSA,,,Wavenumbers (cm-1),GOE,GOE+Glomalin,GOE+HA,GOE+BSA,,,Wavenumbers (cm-1),MnO2,MnO2+Glomalin,MnO2+HA,MnO2+BSA,,,Wavenumbers (cm-1),MMT,MMT+Glomalin,MMT+HA,MMT+BSA
1982.75251,-0.00066,-0.00017,-0.00045,,,1982.75251,-0.00082,-0.00018,0.00372,0.00065,,,1982.75251,0.04764,0.00541,0.00088,0.01142,,,1982.75251,-0.0017,-0.00149,-0.0019,-0.00194
1980.82376,-0.00094,-0.00019,-0.00054,,,1980.82376,-0.0008,-0.00022,0.00353,0.00061,,,1980.82376,0.04701,0.00533,0.00069,0.01105,,,1980.82376,-0.00183,-0.00153,-0.00201,-0.00226
1978.89502,-0.00112,-0.00028,-0.00059,,,1978.89502,-0.00074,-0.00023,0.00339,0.0007,,,1978.89502,0.04631,0.00543,0.00054,0.01075,,,1978.89502,-0.00206,-0.00188,-0.00181,-0.0022
1976.96627,-0.00116,-0.00041,-0.00061,,,1976.96627,-0.00061,-0.00017,0.00331,0.00072,,,1976.96627,0.04596,0.0056,0.00055,0.0106,,,1976.96627,-0.00219,-0.00216,-0.00143,-0.00178
1975.03752,-0.00108,-0.00048,-0.00054,,,1975.03752,-0.00029,-0.00017,0.00339,0.00067,,,1975.03752,0.04615,0.00566,0.00069,0.01065,,,1975.03752,-0.00206,-0.00214,-0.00132,-0.00149
1973.10877,-0.00093,-0.00049,-0.00039,,,1973.10877,-0.00005,-0.00031,0.00357,0.00069,,,1973.10877,0.0467,0.00565,0.00085,0.01091,,,1973.10877,-0.00171,-0.00183,-0.00149,-0.00155
1971.18003,-0.00086,-0.00047,-0.00035,,,1971.18003,-0.00008,-0.00038,0.00362,0.00074,,,1971.18003,0.04719,0.00567,0.00094,0.01114,,,1971.18003,-0.00136,-0.00141,-0.00149,-0.00165
1969.25128,-0.00082,-0.00045,-0.00035,,,1969.25128,-0.00026,-0.00014,0.00358,0.00085,,,1969.25128,0.04745,0.00581,0.00093,0.0112,,,1969.25128,-0.00114,-0.00116,-0.00118,-0.00146
1967.32253,-0.00076,-0.0004,-0.00025,,,1967.32253,-0.00044,0.00014,0.00361,0.00102,,,1967.32253,0.0477,0.00595,0.00092,0.01125,,,1967.32253,-0.00107,-0.00114,-0.00086,-0.00115
1965.39378,-0.0008,-0.00033,-0.00018,,,1965.39378,-0.00059,0.00006,0.00369,0.00107,,,1965.39378,0.04809,0.00587,0.00097,0.0114,,,1965.39378,-0.00113,-0.00129,-0.00075,-0.00099
1963.46504,-0.00089,-0.00028,-0.0002,,,1963.46504,-0.00065,-0.00012,0.00379,0.00101,,,1963.46504,0.04847,0.00571,0.00099,0.01157,,,1963.46504,-0.00115,-0.00147,-0.00084,-0.00097
1961.53629,-0.00086,-0.00029,-0.00028,,,1961.53629,-0.00055,-0.00023,0.00391,0.00106,,,1961.53629,0.04889,0.00558,0.00093,0.01172,,,1961.53629,-0.00103,-0.00145,-0.00107,-0.00106
1959.60754,-0.00073,-0.00036,-0.00046,,,1959.60754,-0.00033,-0.00031,0.00395,0.00119,,,1959.60754,0.04948,0.00547,0.00089,0.0119,,,1959.60754,-0.00089,-0.00123,-0.00129,-0.00116
1957.67879,-0.00068,-0.00047,-0.00063,,,1957.67879,-0.00022,-0.00026,0.00386,0.00128,,,1957.67879,0.04997,0.00551,0.00091,0.01206,,,1957.67879,-0.00083,-0.00105,-0.00135,-0.00111
1955.75005,-0.00076,-0.00054,-0.00071,,,1955.75005,-0.00029,-0.00011,0.00374,0.00121,,,1955.75005,0.05026,0.00569,0.00093,0.0121,,,1955.75005,-0.00081,-0.00103,-0.00126,-0.00097
1953.8213,-0.00085,-0.00053,-0.00066,,,1953.8213,-0.00033,-0.00016,0.00361,0.00106,,,1953.8213,0.05061,0.00587,0.00092,0.01213,,,1953.8213,-0.00084,-0.00105,-0.00109,-0.00088
1951.89255,-0.00082,-0.0005,-0.00054,,,1951.89255,-0.00023,-0.00032,0.00359,0.00101,,,1951.89255,0.05113,0.00599,0.00088,0.01227,,,1951.89255,-0.00096,-0.00109,-0.00099,-0.00088
1949.9638,-0.0007,-0.0005,-0.00046,,,1949.9638,-0.00018,-0.00031,0.0037,0.00105,,,1949.9638,0.05171,0.0061,0.00091,0.01241,,,1949.9638,-0.00103,-0.00114,-0.00098,-0.00099
1948.03506,-0.00055,-0.00048,-0.00045,,,1948.03506,-0.00031,-0.00012,0.00384,0.00113,,,1948.03506,0.05212,0.00623,0.00099,0.01248,,,1948.03506,-0.00092,-0.00106,-0.00086,-0.00102
1946.10631,-0.00038,-0.00046,-0.00047,,,1946.10631,-0.00045,0.00014,0.00395,0.00121,,,1946.10631,0.05228,0.00635,0.00105,0.01253,,,1946.10631,-0.00071,-0.00085,-0.00054,-0.00081
1944.17756,-0.0003,-0.00044,-0.0004,,,1944.17756,-0.00044,0.00039,0.00407,0.0013,,,1944.17756,0.0523,0.00652,0.00111,0.01263,,,1944.17756,-0.00039,-0.00057,-0.00017,-0.00056
1942.24881,-0.00048,-0.00041,-0.00024,,,1942.24881,-0.0003,0.00037,0.0042,0.00141,,,1942.24881,0.05248,0.00666,0.00116,0.01273,,,1942.24881,-0.00018,-0.00049,-0.00006,-0.00049
1940.32006,-0.00076,-0.00039,-0.00016,,,1940.32006,-0.00012,0.00002,0.0043,0.00148,,,1940.32006,0.05288,0.00657,0.00119,0.01278,,,1940.32006,-0.0003,-0.00065,-0.0004,-0.00067
1938.39132,-0.00083,-0.00043,-0.00019,,,1938.39132,0.00001,-0.00029,0.00432,0.00144,,,1938.39132,0.05318,0.00633,0.00124,0.01281,,,1938.39132,-0.00049,-0.00071,-0.00077,-0.00093
1936.46257,-0.00077,-0.00046,-0.00027,,,1936.46257,0.00004,-0.0004,0.00427,0.00131,,,1936.46257,0.05336,0.00619,0.00128,0.0129,,,1936.46257,-0.00056,-0.00064,-0.00086,-0.00103
1934.53382,-0.00075,-0.00035,-0.00035,,,1934.53382,-0.00002,-0.00041,0.00421,0.00128,,,1934.53382,0.05365,0.00618,0.00133,0.013,,,1934.53382,-0.00061,-0.00064,-0.00074,-0.00088
1932.60507,-0.0007,-0.00019,-0.00034,,,1932.60507,-0.00012,-0.00046,0.00418,0.00141,,,1932.60507,0.05403,0.00614,0.0014,0.01307,,,1932.60507,-0.00063,-0.00067,-0.00053,-0.00069
1930.67633,-0.0006,-0.00013,-0.00026,,,1930.67633,-0.00013,-0.00052,0.00417,0.00158,,,1930.67633,0.05437,0.00601,0.00142,0.01308,,,1930.67633,-0.00057,-0.0007,-0.00041,-0.00068
1928.74758,-0.00051,-0.00015,-0.00021,,,1928.74758,-0.00003,-0.00049,0.00413,0.00164,,,1928.74758,0.05461,0.00596,0.00135,0.01304,,,1928.74758,-0.0005,-0.00075,-0.00046,-0.00079
1926.81883,-0.00048,-0.00017,-0.00016,,,1926.81883,0.00006,-0.00033,0.00412,0.00161,,,1926.81883,0.05476,0.00606,0.00125,0.013,,,1926.81883,-0.00049,-0.00069,-0.00051,-0.00079
1924.89008,-0.00043,-0.0002,-0.0001,,,1924.89008,0.00002,0,0.00427,0.00163,,,1924.89008,0.0548,0.00629,0.00121,0.01298,,,1924.89008,-0.00041,-0.00045,-0.00035,-0.00052
1922.96134,-0.00037,-0.00023,-0.00001,,,1922.96134,-0.00007,0.00026,0.00448,0.00172,,,1922.96134,0.05492,0.00656,0.00125,0.01308,,,1922.96134,-0.00027,-0.00027,-0.00012,-0.00019
1921.03259,-0.00034,-0.0002,0.00008,,,1921.03259,-0.0002,0.00024,0.00455,0.00178,,,1921.03259,0.0551,0.00674,0.00135,0.01324,,,1921.03259,-0.00023,-0.00036,-0.0001,-0.00009
1919.10384,-0.00037,-0.00024,0.0001,,,1919.10384,-0.00034,0.00022,0.00448,0.00166,,,1919.10384,0.05515,0.0069,0.00142,0.01326,,,1919.10384,-0.00022,-0.00044,-0.00018,-0.00018
1917.17509,-0.00047,-0.00038,-0.00002,,,1917.17509,-0.00027,0.00014,0.00436,0.00146,,,1917.17509,0.05533,0.0069,0.00138,0.01318,,,1917.17509,-0.00022,-0.00044,-0.00031,-0.00043
1915.24635,-0.00062,-0.00047,-0.0002,,,1915.24635,0.00001,-0.00013,0.00423,0.00135,,,1915.24635,0.05572,0.00669,0.00126,0.01317,,,1915.24635,-0.00028,-0.00053,-0.00051,-0.00073
1913.3176,-0.00069,-0.00042,-0.00031,,,1913.3176,0.00013,-0.00023,0.0042,0.00135,,,1913.3176,0.05596,0.00657,0.00117,0.01323,,,1913.3176,-0.00027,-0.00053,-0.00055,-0.00077
1911.38885,-0.00063,-0.00029,-0.00028,,,1911.38885,-0.00003,-0.00004,0.00432,0.00142,,,1911.38885,0.05599,0.00663,0.00123,0.01328,,,1911.38885,-0.00015,-0.00032,-0.00036,-0.00051
1909.4601,-0.00056,-0.00022,-0.0002,,,1909.4601,-0.00014,0.00009,0.0044,0.00151,,,1909.4601,0.05599,0.00673,0.00136,0.01328,,,1909.4601,-0.0001,-0.00014,-0.00029,-0.00036
1907.53136,-0.00062,-0.00026,-0.0002,,,1907.53136,-0.00001,-0.00003,0.0043,0.0016,,,1907.53136,0.05612,0.00677,0.00136,0.0133,,,1907.53136,-0.00028,-0.00026,-0.00048,-0.00049
1905.60261,-0.00072,-0.00034,-0.00027,,,1905.60261,0.00014,-0.00021,0.00417,0.00162,,,1905.60261,0.05632,0.00666,0.00129,0.01335,,,1905.60261,-0.00045,-0.00045,-0.00065,-0.00065
1903.67386,-0.00076,-0.00032,-0.0003,,,1903.67386,0.00019,-0.0003,0.00416,0.00159,,,1903.67386,0.05643,0.00649,0.0013,0.01341,,,1903.67386,-0.00039,-0.00047,-0.00061,-0.00069
1901.74511,-0.00077,-0.0002,-0.00024,,,1901.74511,0.00023,-0.00036,0.00425,0.00158,,,1901.74511,0.0565,0.00642,0.00141,0.01347,,,1901.74511,-0.00026,-0.00047,-0.00052,-0.00062
1899.81637,-0.00075,-0.00013,-0.00017,,,1899.81637,0.00024,-0.00035,0.00429,0.00162,,,1899.81637,0.05665,0.00645,0.00149,0.01351,,,1899.81637,-0.00028,-0.00056,-0.0005,-0.00053
1897.88762,-0.00068,-0.00019,-0.00015,,,1897.88762,0.00015,-0.00024,0.00425,0.00166,,,1897.88762,0.05681,0.00654,0.00145,0.0135,,,1897.88762,-0.00034,-0.00062,-0.00051,-0.00055
1895.95887,-0.00061,-0.00024,-0.00016,,,1895.95887,0.00005,-0.00014,0.00421,0.00167,,,1895.95887,0.05691,0.00662,0.0014,0.01348,,,1895.95887,-0.00029,-0.00057,-0.00053,-0.00063
1894.03012,-0.0006,-0.00024,-0.00017,,,1894.03012,0.00002,-0.00013,0.00423,0.0017,,,1894.03012,0.05697,0.00661,0.00144,0.01343,,,1894.03012,-0.00022,-0.00048,-0.00053,-0.00064
1892.10138,-0.00059,-0.00029,-0.00018,,,1892.10138,-0.00006,-0.00003,0.00424,0.00174,,,1892.10138,0.05695,0.00666,0.00146,0.01331,,,1892.10138,-0.00013,-0.00035,-0.00036,-0.00051
1890.17263,-0.00052,-0.00038,-0.00017,,,1890.17263,-0.00021,0.00017,0.00419,0.0017,,,1890.17263,0.05687,0.00684,0.00144,0.01322,,,1890.17263,0,-0.00017,-0.00006,-0.00031
1888.24388,-0.00049,-0.0004,-0.00018,,,1888.24388,-0.00021,0.00011,0.0041,0.0016,,,1888.24388,0.05701,0.00679,0.00145,0.01324,,,1888.24388,0.00002,-0.00019,-0.00007,-0.00025
1886.31513,-0.00057,-0.00039,-0.00024,,,1886.31513,-0.00005,-0.00011,0.00403,0.00152,,,1886.31513,0.05726,0.00659,0.00148,0.01325,,,1886.31513,-0.00009,-0.00038,-0.00033,-0.00032
1884.38638,-0.00065,-0.00035,-0.00029,,,1884.38638,0.00014,-0.00022,0.00403,0.00152,,,1884.38638,0.05738,0.00653,0.00148,0.01327,,,1884.38638,-0.00019,-0.00052,-0.00044,-0.00039
1882.45764,-0.00068,-0.00022,-0.00023,,,1882.45764,0.00024,-0.00031,0.00411,0.0016,,,1882.45764,0.05752,0.00654,0.00149,0.01339,,,1882.45764,-0.00022,-0.00057,-0.00045,-0.00053
1880.52889,-0.00067,-0.00013,-0.00015,,,1880.52889,0.00023,-0.00039,0.00416,0.00166,,,1880.52889,0.05773,0.00647,0.00153,0.01352,,,1880.52889,-0.0002,-0.00053,-0.00048,-0.00069
1878.60014,-0.00066,-0.00017,-0.00013,,,1878.60014,0.00023,-0.00042,0.00419,0.00169,,,1878.60014,0.05788,0.00635,0.00155,0.01353,,,1878.60014,-0.00016,-0.00046,-0.00052,-0.00068
1876.67139,-0.00065,-0.00028,-0.00016,,,1876.67139,0.0003,-0.00044,0.00426,0.00169,,,1876.67139,0.05796,0.00626,0.00153,0.01344,,,1876.67139,-0.00017,-0.00046,-0.00055,-0.0006
1874.74265,-0.00064,-0.00038,-0.00016,,,1874.74265,0.00031,-0.0004,0.00429,0.0017,,,1874.74265,0.05795,0.00626,0.00148,0.01337,,,1874.74265,-0.00016,-0.00048,-0.00051,-0.00056
1872.8139,-0.00058,-0.00045,-0.0001,,,1872.8139,0.00019,-0.00009,0.00428,0.00175,,,1872.8139,0.05773,0.00649,0.00144,0.01332,,,1872.8139,-0.00001,-0.00032,-0.00028,-0.0004
1870.88515,-0.00035,-0.00051,0.00003,,,1870.88515,-0.00013,0.00068,0.0043,0.0018,,,1870.88515,0.05725,0.00708,0.0014,0.01322,,,1870.88515,0.00041,0.00017,0.00022,0.00005
1868.9564,-0.00007,-0.00053,0.00013,,,1868.9564,-0.00048,0.00139,0.00439,0.00174,,,1868.9564,0.05691,0.00768,0.00135,0.01308,,,1868.9564,0.00088,0.00062,0.00066,0.00044
1867.02766,-0.00016,-0.00045,0.00002,,,1867.02766,-0.00037,0.00114,0.00441,0.0016,,,1867.02766,0.05724,0.00758,0.00133,0.01312,,,1867.02766,0.00084,0.00046,0.00045,0.00022
1865.09891,-0.00048,-0.00036,-0.00018,,,1865.09891,-0.00002,0.0004,0.00429,0.00151,,,1865.09891,0.05787,0.00703,0.0013,0.01324,,,1865.09891,0.00042,0.00001,-0.00002,-0.00026
1863.17016,-0.00069,-0.00032,-0.00029,,,1863.17016,0.00021,-0.00001,0.00415,0.00154,,,1863.17016,0.05827,0.00663,0.00126,0.01332,,,1863.17016,0.00017,-0.00023,-0.00031,-0.00048
1861.24141,-0.00073,-0.00027,-0.00028,,,1861.24141,0.00028,-0.0001,0.00412,0.00165,,,1861.24141,0.05841,0.00649,0.00127,0.01336,,,1861.24141,0.00015,-0.00026,-0.00043,-0.00049
1859.31267,-0.00066,-0.00024,-0.00025,,,1859.31267,0.00031,-0.00013,0.00418,0.00171,,,1859.31267,0.05848,0.00643,0.00134,0.01338,,,1859.31267,0.00012,-0.00026,-0.00045,-0.00049
1857.38392,-0.00063,-0.00028,-0.00029,,,1857.38392,0.00033,-0.00025,0.0042,0.00168,,,1857.38392,0.05857,0.00635,0.00139,0.01335,,,1857.38392,-0.00002,-0.00035,-0.00046,-0.00049
1855.45517,-0.00067,-0.0003,-0.00032,,,1855.45517,0.00033,-0.00037,0.00424,0.00169,,,1855.45517,0.05866,0.00631,0.00145,0.01334,,,1855.45517,-0.0001,-0.00042,-0.00046,-0.00048
1853.52642,-0.0007,-0.00025,-0.00027,,,1853.52642,0.00031,-0.00037,0.00437,0.00172,,,1853.52642,0.05871,0.00633,0.0015,0.01335,,,1853.52642,-0.00004,-0.00038,-0.00042,-0.00049
1851.59768,-0.00066,-0.00027,-0.0002,,,1851.59768,0.00028,-0.00023,0.00448,0.00172,,,1851.59768,0.05872,0.00642,0.00147,0.01333,,,1851.59768,0.0001,-0.00026,-0.00037,-0.00047
1849.66893,-0.00052,-0.0004,-0.00012,,,1849.66893,0.00018,0.00008,0.00454,0.00177,,,1849.66893,0.05862,0.00662,0.00143,0.01332,,,1849.66893,0.0003,-0.00006,-0.00019,-0.00031
1847.74018,-0.00032,-0.00059,-0.00003,,,1847.74018,-0.00006,0.00055,0.00454,0.00179,,,1847.74018,0.05826,0.00697,0.00147,0.01328,,,1847.74018,0.00053,0.00024,0.00011,0.00003
1845.81143,-0.00012,-0.00077,0.00005,,,1845.81143,-0.00046,0.00108,0.00456,0.00174,,,1845.81143,0.05768,0.00741,0.00152,0.01313,,,1845.81143,0.00073,0.00055,0.00033,0.00039
1843.88269,-0.00011,-0.00075,0.00005,,,1843.88269,-0.0006,0.00116,0.00464,0.00178,,,1843.88269,0.05758,0.00744,0.00153,0.01308,,,1843.88269,0.0007,0.00057,0.0002,0.0004
1841.95394,-0.00033,-0.00052,-0.00005,,,1841.95394,-0.00022,0.00063,0.00473,0.00197,,,1841.95394,0.05824,0.00691,0.00154,0.0133,,,1841.95394,0.00039,0.0002,-0.00014,0.00003
1840.02519,-0.00051,-0.00035,-0.00016,,,1840.02519,0.00011,0.00022,0.00475,0.00207,,,1840.02519,0.0588,0.00655,0.00152,0.01346,,,1840.02519,0.00015,-0.00012,-0.0003,-0.00023
1838.09644,-0.00054,-0.00035,-0.00022,,,1838.09644,0.00022,0.00014,0.00475,0.00203,,,1838.09644,0.05891,0.00654,0.00144,0.01342,,,1838.09644,0.00006,-0.00023,-0.00026,-0.0003
1836.1677,-0.00052,-0.00035,-0.00019,,,1836.1677,0.00031,0.0001,0.00479,0.00199,,,1836.1677,0.05894,0.00657,0.00135,0.01333,,,1836.1677,0.00001,-0.00024,-0.00024,-0.00039
1834.23895,-0.00047,-0.00034,-0.00011,,,1834.23895,0.00037,0.0001,0.00489,0.00202,,,1834.23895,0.05898,0.00656,0.00135,0.01326,,,1834.23895,0.00004,-0.00016,-0.00024,-0.00039
1832.3102,-0.0003,-0.00045,0.00003,,,1832.3102,0.00017,0.00054,0.00501,0.00204,,,1832.3102,0.05869,0.00682,0.00139,0.01309,,,1832.3102,0.00029,0.00012,-0.00005,-0.00015
1830.38145,-0.00009,-0.00061,0.00015,,,1830.38145,-0.00017,0.00122,0.00512,0.002,,,1830.38145,0.05831,0.00727,0.00142,0.01288,,,1830.38145,0.00053,0.00044,0.00021,0.00018
1828.45271,-0.00011,-0.00062,0.00013,,,1828.45271,-0.0002,0.00135,0.00523,0.00201,,,1828.45271,0.05839,0.00736,0.00144,0.01286,,,1828.45271,0.00043,0.00039,0.00018,0.00019
1826.52396,-0.00024,-0.00056,0.00001,,,1826.52396,-0.00003,0.00112,0.00533,0.00206,,,1826.52396,0.05861,0.00718,0.00144,0.01292,,,1826.52396,0.00025,0.0002,0.00006,0.00004
1824.59521,-0.00037,-0.0005,-0.00007,,,1824.59521,0.0001,0.00085,0.00543,0.00211,,,1824.59521,0.05874,0.00702,0.00143,0.01297,,,1824.59521,0.00019,0.00006,0.00001,-0.00006
1822.66646,-0.00053,-0.00038,-0.00013,,,1822.66646,0.0003,0.00047,0.0055,0.00217,,,1822.66646,0.05904,0.00679,0.00142,0.01307,,,1822.66646,0.00007,-0.00014,-0.00009,-0.00025
1820.73771,-0.00062,-0.0003,-0.00016,,,1820.73771,0.0005,0.0002,0.0056,0.00224,,,1820.73771,0.05934,0.00658,0.00141,0.01317,,,1820.73771,-0.00005,-0.00032,-0.00022,-0.00042
1818.80897,-0.0006,-0.00033,-0.00013,,,1818.80897,0.00057,0.00019,0.00575,0.00233,,,1818.80897,0.05946,0.00652,0.00139,0.01321,,,1818.80897,-0.00008,-0.00033,-0.00029,-0.00044
1816.88022,-0.00057,-0.00034,-0.00012,,,1816.88022,0.00059,0.00026,0.00588,0.00241,,,1816.88022,0.05956,0.00649,0.00141,0.01324,,,1816.88022,-0.00009,-0.00025,-0.00034,-0.00041
1814.95147,-0.00051,-0.0003,-0.00012,,,1814.95147,0.0006,0.00034,0.00601,0.00245,,,1814.95147,0.05963,0.00652,0.00147,0.01326,,,1814.95147,-0.00005,-0.00014,-0.00034,-0.00037
1813.02272,-0.0004,-0.00034,-0.00008,,,1813.02272,0.00049,0.00062,0.00611,0.00247,,,1813.02272,0.05946,0.00678,0.00148,0.0132,,,1813.02272,0.00012,0.00004,-0.00018,-0.00023
1811.09398,-0.00032,-0.00041,-0.00001,,,1811.09398,0.00032,0.00091,0.00619,0.00253,,,1811.09398,0.05927,0.00699,0.00142,0.0131,,,1811.09398,0.00028,0.00021,0,-0.0001
1809.16523,-0.00036,-0.00037,-0.00001,,,1809.16523,0.00036,0.00084,0.00628,0.00264,,,1809.16523,0.05941,0.00683,0.00139,0.01311,,,1809.16523,0.00023,0.00019,-0.00007,-0.00019
1807.23648,-0.00045,-0.00029,-0.0001,,,1807.23648,0.00059,0.00058,0.00637,0.00269,,,1807.23648,0.05967,0.00656,0.00144,0.01317,,,1807.23648,0.00006,0.00002,-0.00026,-0.00035
1805.30773,-0.00044,-0.0003,-0.00012,,,1805.30773,0.00072,0.00058,0.00646,0.00268,,,1805.30773,0.05966,0.00651,0.00147,0.01317,,,1805.30773,0,-0.00006,-0.00027,-0.00036
1803.37899,-0.00029,-0.0004,-0.00002,,,1803.37899,0.00057,0.00096,0.00658,0.00266,,,1803.37899,0.0593,0.00678,0.00147,0.0131,,,1803.37899,0.00018,0.00014,-0.00001,-0.00011
1801.45024,-0.00011,-0.00049,0.00008,,,1801.45024,0.00027,0.0014,0.00671,0.00265,,,1801.45024,0.05889,0.0072,0.00145,0.01298,,,1801.45024,0.00042,0.00045,0.00027,0.0002
1799.52149,-0.00007,-0.00047,0.00004,,,1799.52149,0.00019,0.00145,0.00681,0.00267,,,1799.52149,0.05888,0.0073,0.00142,0.01291,,,1799.52149,0.00041,0.00046,0.00025,0.00022
1797.59274,-0.00009,-0.00044,-0.00004,,,1797.59274,0.00029,0.00134,0.00686,0.00271,,,1797.59274,0.05911,0.00715,0.0014,0.01291,,,1797.59274,0.00032,0.00036,0.00016,0.00015
1795.664,0,-0.00055,-0.00002,,,1795.664,0.00021,0.00152,0.00685,0.0027,,,1795.664,0.059,0.00717,0.00135,0.0128,,,1795.664,0.00039,0.00046,0.0003,0.00034
1793.73525,0.0002,-0.00077,0.00009,,,1793.73525,-0.00013,0.002,0.00682,0.00268,,,1793.73525,0.0585,0.0075,0.0013,0.01255,,,1793.73525,0.00057,0.00078,0.00069,0.00074
1791.8065,0.00021,-0.00087,0.00011,,,1791.8065,-0.00022,0.0021,0.0068,0.0027,,,1791.8065,0.05838,0.00765,0.00128,0.01249,,,1791.8065,0.00062,0.00087,0.00087,0.00084
1789.87775,-0.0001,-0.00072,-0.00007,,,1789.87775,0.00025,0.00139,0.00675,0.00272,,,1789.87775,0.059,0.0072,0.00128,0.01271,,,1789.87775,0.00031,0.00041,0.00041,0.00034
1787.94901,-0.00037,-0.00053,-0.00022,,,1787.94901,0.00065,0.00074,0.00673,0.0027,,,1787.94901,0.05952,0.00675,0.00133,0.01292,,,1787.94901,0.00002,0.00001,-0.00006,-0.00011
1786.02026,-0.00044,-0.00046,-0.0002,,,1786.02026,0.0007,0.00061,0.00674,0.00273,,,1786.02026,0.05957,0.00664,0.00141,0.01299,,,1786.02026,-0.00003,0.00002,-0.00018,-0.00019
1784.09151,-0.00039,-0.00043,-0.0001,,,1784.09151,0.00059,0.00074,0.00675,0.00278,,,1784.09151,0.05943,0.00669,0.00145,0.01298,,,1784.09151,0,0.00019,-0.00006,-0.00008
1782.16276,-0.00031,-0.00042,-0.00001,,,1782.16276,0.00044,0.0009,0.00679,0.0028,,,1782.16276,0.05927,0.00679,0.00143,0.01293,,,1782.16276,0.00004,0.00028,0.00011,0.00001
1780.23402,-0.00028,-0.00042,0.00003,,,1780.23402,0.00039,0.00097,0.00681,0.00276,,,1780.23402,0.05921,0.00685,0.00143,0.01287,,,1780.23402,0.0001,0.0003,0.00013,0
1778.30527,-0.00027,-0.00041,0.00003,,,1778.30527,0.00044,0.0009,0.00681,0.00275,,,1778.30527,0.05932,0.00686,0.00147,0.01283,,,1778.30527,0.00005,0.00025,-0.00006,-0.00012
1776.37652,-0.00017,-0.00048,0.00005,,,1776.37652,0.0003,0.00106,0.00683,0.00273,,,1776.37652,0.05915,0.00705,0.00146,0.01269,,,1776.37652,0.00006,0.00032,-0.00009,-0.00005
1774.44777,0.0001,-0.00073,0.00013,,,1774.44777,-0.00018,0.0017,0.00682,0.00263,,,1774.44777,0.05838,0.00764,0.00135,0.01233,,,1774.44777,0.00034,0.00068,0.00029,0.00035
1772.51903,0.00035,-0.001,0.0002,,,1772.51903,-0.00061,0.00232,0.00676,0.0025,,,1772.51903,0.05761,0.00826,0.00124,0.012,,,1772.51903,0.00065,0.00108,0.00085,0.00079
1770.59028,0.00026,-0.00095,0.00017,,,1770.59028,-0.00038,0.00204,0.00673,0.00255,,,1770.59028,0.05772,0.0081,0.00129,0.01217,,,1770.59028,0.00054,0.00092,0.00082,0.00069
1768.66153,-0.00002,-0.00067,0.00005,,,1768.66153,0.00012,0.00126,0.00675,0.00267,,,1768.66153,0.05842,0.00744,0.00139,0.01255,,,1768.66153,0.00019,0.00047,0.00035,0.00027
1766.73278,-0.00025,-0.00045,-0.00009,,,1766.73278,0.00043,0.00057,0.00672,0.00267,,,1766.73278,0.05908,0.00693,0.0014,0.01271,,,1766.73278,-0.00014,0.00009,-0.00004,-0.00012
1764.80403,-0.00031,-0.0004,-0.0001,,,1764.80403,0.00045,0.00034,0.00666,0.00259,,,1764.80403,0.05925,0.00685,0.00135,0.01264,,,1764.80403,-0.00027,0,-0.00014,-0.00028
1762.87529,-0.00019,-0.00047,0.00005,,,1762.87529,0.00026,0.00061,0.00665,0.00254,,,1762.87529,0.05888,0.00716,0.00129,0.01251,,,1762.87529,-0.00013,0.0002,0.00001,-0.00014
1760.94654,-0.00011,-0.00051,0.00012,,,1760.94654,0.00017,0.00083,0.00666,0.00255,,,1760.94654,0.05863,0.00733,0.00127,0.01251,,,1760.94654,-0.00002,0.00037,0.0001,-0.00001
1759.01779,-0.00012,-0.0005,0.00005,,,1759.01779,0.00024,0.0008,0.00667,0.00256,,,1759.01779,0.05867,0.0072,0.00134,0.01258,,,1759.01779,-0.00007,0.00035,0.00002,-0.00002
1757.08904,-0.00016,-0.00047,0.00001,,,1757.08904,0.0003,0.00073,0.00668,0.00254,,,1757.08904,0.05868,0.00704,0.00141,0.01261,,,1757.08904,-0.00013,0.00028,-0.00008,-0.00006
1755.1603,-0.00025,-0.00041,0.00003,,,1755.1603,0.00037,0.00068,0.00672,0.00254,,,1755.1603,0.05864,0.00694,0.00142,0.01264,,,1755.1603,-0.00022,0.00018,-0.00011,-0.00006
1753.23155,-0.00014,-0.00047,0.00012,,,1753.23155,0.00019,0.00104,0.00682,0.00259,,,1753.23155,0.05816,0.00718,0.00142,0.01258,,,1753.23155,-0.0001,0.00034,0.00019,0.00022
1751.3028,0.00026,-0.00066,0.00029,,,1751.3028,-0.00042,0.0021,0.00699,0.00267,,,1751.3028,0.05716,0.00794,0.00145,0.0124,,,1751.3028,0.00041,0.00095,0.00091,0.00088
1749.37405,0.00057,-0.00074,0.00037,,,1749.37405,-0.0009,0.00297,0.00712,0.00271,,,1749.37405,0.05654,0.00857,0.00151,0.01228,,,1749.37405,0.00084,0.00143,0.00142,0.00134
1747.44531,0.00049,-0.00064,0.0003,,,1747.44531,-0.00076,0.00281,0.00711,0.00271,,,1747.44531,0.05663,0.00839,0.00153,0.01235,,,1747.44531,0.00069,0.00128,0.00124,0.00114
1745.51656,0.0003,-0.00054,0.0002,,,1745.51656,-0.00045,0.00234,0.00706,0.00274,,,1745.51656,0.05673,0.00795,0.00151,0.01247,,,1745.51656,0.00036,0.00101,0.00093,0.00082
