Wavenumbers (cm-1),Glomalin,HA,BSA,,,Wavenumbers (cm-1),GOE,GOE+Glomalin,GOE+HA,GOE+BSA,,,Wavenumbers (cm-1),MnO2,MnO2+Glomalin,MnO2+HA,MnO2+BSA,,,Wavenumbers (cm-1),MMT,MMT+Glomalin,MMT+HA,MMT+BSA
2150.55355,-0.00081,-0.00016,-0.00055,,,2150.55355,-0.00074,-0.00034,0.004,0.00085,,,2150.55355,0.04445,0.00576,0.00083,0.01131,,,2150.55355,-0.00229,-0.00187,-0.0014,-0.00185
2148.6248,-0.00076,-0.00015,-0.00042,,,2148.6248,-0.00068,-0.00034,0.00424,0.00095,,,2148.6248,0.04486,0.00599,0.001,0.01139,,,2148.6248,-0.00204,-0.00175,-0.00165,-0.00199
2146.69606,-0.0008,-0.00036,-0.00052,,,2146.69606,-0.00052,-0.00038,0.00438,0.00093,,,2146.69606,0.04528,0.00591,0.00102,0.0115,,,2146.69606,-0.00198,-0.00176,-0.00196,-0.00214
2144.76731,-0.00085,-0.00054,-0.00065,,,2144.76731,-0.00037,-0.00038,0.00441,0.0009,,,2144.76731,0.04587,0.00581,0.00104,0.01163,,,2144.76731,-0.00199,-0.00172,-0.00203,-0.00205
2142.83856,-0.00085,-0.00052,-0.00064,,,2142.83856,-0.00024,-0.00042,0.00434,0.00093,,,2142.83856,0.04654,0.00583,0.00104,0.01172,,,2142.83856,-0.00191,-0.00157,-0.00177,-0.00187
2140.90981,-0.00091,-0.00039,-0.00055,,,2140.90981,-0.0002,-0.00046,0.00423,0.00102,,,2140.90981,0.04714,0.0059,0.00097,0.01186,,,2140.90981,-0.00187,-0.00148,-0.00156,-0.00188
2138.98107,-0.00106,-0.00025,-0.00047,,,2138.98107,-0.00024,-0.00043,0.00423,0.00122,,,2138.98107,0.04764,0.00593,0.001,0.01215,,,2138.98107,-0.00185,-0.00149,-0.00159,-0.0019
2137.05232,-0.00118,-0.00022,-0.00048,,,2137.05232,-0.00029,-0.00043,0.00434,0.0014,,,2137.05232,0.04816,0.00579,0.0011,0.01245,,,2137.05232,-0.00177,-0.0015,-0.00168,-0.00176
2135.12357,-0.00117,-0.00038,-0.00054,,,2135.12357,-0.00026,-0.00058,0.00442,0.00144,,,2135.12357,0.04868,0.00557,0.00107,0.01259,,,2135.12357,-0.00166,-0.00138,-0.00166,-0.00165
2133.19482,-0.00106,-0.00054,-0.0005,,,2133.19482,-0.00016,-0.00078,0.00444,0.00141,,,2133.19482,0.04915,0.00551,0.00102,0.01266,,,2133.19482,-0.00147,-0.00106,-0.00156,-0.0017
2131.26608,-0.00095,-0.00053,-0.0004,,,2131.26608,-0.00013,-0.00083,0.0045,0.00137,,,2131.26608,0.0496,0.0056,0.00109,0.01282,,,2131.26608,-0.00133,-0.00084,-0.00154,-0.00164
2129.33733,-0.00088,-0.00044,-0.00039,,,2129.33733,-0.00016,-0.00078,0.00461,0.00137,,,2129.33733,0.04997,0.00575,0.00113,0.01307,,,2129.33733,-0.00148,-0.00097,-0.00159,-0.00144
2127.40858,-0.00086,-0.00041,-0.00041,,,2127.40858,-0.00018,-0.00083,0.00467,0.00139,,,2127.40858,0.05026,0.00597,0.00109,0.01324,,,2127.40858,-0.0017,-0.00124,-0.00159,-0.00142
2125.47983,-0.00083,-0.00045,-0.00037,,,2125.47983,-0.00015,-0.00096,0.00458,0.00135,,,2125.47983,0.05053,0.00613,0.00105,0.01321,,,2125.47983,-0.00176,-0.00134,-0.00151,-0.00155
2123.55108,-0.00079,-0.00049,-0.00035,,,2123.55108,-0.00009,-0.00105,0.00448,0.00134,,,2123.55108,0.05079,0.00613,0.00109,0.01308,,,2123.55108,-0.00173,-0.00134,-0.00148,-0.00166
2121.62234,-0.00083,-0.00047,-0.00036,,,2121.62234,-0.00001,-0.00101,0.00452,0.00141,,,2121.62234,0.05106,0.00607,0.00118,0.01303,,,2121.62234,-0.00176,-0.00135,-0.00158,-0.00173
2119.69359,-0.00087,-0.00041,-0.00038,,,2119.69359,0.00006,-0.00092,0.00465,0.00136,,,2119.69359,0.05127,0.00603,0.00117,0.01309,,,2119.69359,-0.00177,-0.00132,-0.00169,-0.00173
2117.76484,-0.00084,-0.00042,-0.00042,,,2117.76484,0.00007,-0.00087,0.0047,0.00116,,,2117.76484,0.0514,0.00607,0.00101,0.01312,,,2117.76484,-0.00176,-0.00126,-0.00165,-0.00166
2115.83609,-0.00083,-0.00049,-0.00052,,,2115.83609,0.00003,-0.00082,0.00457,0.00102,,,2115.83609,0.05152,0.00614,0.00085,0.01304,,,2115.83609,-0.00179,-0.00123,-0.00152,-0.00161
2113.90735,-0.00092,-0.00047,-0.00055,,,2113.90735,-0.00003,-0.00072,0.00441,0.00112,,,2113.90735,0.05154,0.00611,0.00092,0.01299,,,2113.90735,-0.00182,-0.00126,-0.00141,-0.00161
2111.9786,-0.00099,-0.00038,-0.00046,,,2111.9786,-0.00002,-0.00062,0.00437,0.00132,,,2111.9786,0.05146,0.00601,0.00113,0.01307,,,2111.9786,-0.00186,-0.00132,-0.00134,-0.00161
2110.04985,-0.00098,-0.00035,-0.00043,,,2110.04985,0.00004,-0.00058,0.00446,0.00138,,,2110.04985,0.05142,0.00597,0.00118,0.01316,,,2110.04985,-0.00192,-0.00126,-0.00127,-0.00151
2108.1211,-0.00096,-0.00039,-0.00048,,,2108.1211,0.00002,-0.00062,0.00461,0.00133,,,2108.1211,0.05149,0.00602,0.00109,0.01314,,,2108.1211,-0.00197,-0.00117,-0.00121,-0.00129
2106.19236,-0.00097,-0.00045,-0.00048,,,2106.19236,-0.00011,-0.0007,0.00473,0.00134,,,2106.19236,0.05156,0.00609,0.00102,0.01303,,,2106.19236,-0.00193,-0.00125,-0.00125,-0.00118
2104.26361,-0.00094,-0.00048,-0.00045,,,2104.26361,-0.00014,-0.00079,0.00478,0.00143,,,2104.26361,0.05157,0.00608,0.00097,0.01296,,,2104.26361,-0.00183,-0.00137,-0.00141,-0.00139
2102.33486,-0.00091,-0.00051,-0.00042,,,2102.33486,-0.00008,-0.00086,0.00466,0.00144,,,2102.33486,0.05151,0.00603,0.00096,0.01299,,,2102.33486,-0.00173,-0.00133,-0.00161,-0.00175
2100.40611,-0.00093,-0.00058,-0.00038,,,2100.40611,-0.00007,-0.00088,0.00446,0.00138,,,2100.40611,0.05144,0.00608,0.00102,0.01304,,,2100.40611,-0.00174,-0.00126,-0.00168,-0.00198
2098.47737,-0.00101,-0.00056,-0.00034,,,2098.47737,-0.0001,-0.00086,0.00438,0.00135,,,2098.47737,0.05146,0.00622,0.00112,0.01303,,,2098.47737,-0.00183,-0.00128,-0.0015,-0.00195
2096.54862,-0.00104,-0.00041,-0.0003,,,2096.54862,-0.00011,-0.00085,0.00446,0.00138,,,2096.54862,0.05156,0.00626,0.00121,0.01308,,,2096.54862,-0.00182,-0.00134,-0.00121,-0.00166
2094.61987,-0.00095,-0.00026,-0.00035,,,2094.61987,-0.00008,-0.00085,0.00458,0.00139,,,2094.61987,0.05167,0.00618,0.00129,0.01317,,,2094.61987,-0.00177,-0.00136,-0.00111,-0.00133
2092.69112,-0.0008,-0.00028,-0.00051,,,2092.69112,-0.00008,-0.00084,0.00462,0.00134,,,2092.69112,0.05173,0.00605,0.00125,0.0131,,,2092.69112,-0.00179,-0.00136,-0.00123,-0.00122
2090.76238,-0.00072,-0.00035,-0.00056,,,2090.76238,-0.00014,-0.00082,0.00457,0.00129,,,2090.76238,0.05171,0.006,0.00115,0.0129,,,2090.76238,-0.00182,-0.00131,-0.00139,-0.00131
2088.83363,-0.00078,-0.00036,-0.00049,,,2088.83363,-0.00019,-0.00079,0.00446,0.00124,,,2088.83363,0.05171,0.00596,0.00116,0.01282,,,2088.83363,-0.00182,-0.00123,-0.00146,-0.00144
2086.90488,-0.00089,-0.00035,-0.00039,,,2086.90488,-0.00017,-0.00076,0.00438,0.00125,,,2086.90488,0.05177,0.00581,0.00125,0.01292,,,2086.90488,-0.0018,-0.0012,-0.00134,-0.00144
2084.97613,-0.00089,-0.0003,-0.00033,,,2084.97613,-0.0001,-0.00078,0.00439,0.00136,,,2084.97613,0.05179,0.00568,0.00119,0.01301,,,2084.97613,-0.00178,-0.00119,-0.00125,-0.00139
2083.04739,-0.00085,-0.00021,-0.00038,,,2083.04739,-0.00007,-0.00085,0.0044,0.00141,,,2083.04739,0.05165,0.00576,0.001,0.01297,,,2083.04739,-0.00176,-0.00116,-0.00135,-0.00142
2081.11864,-0.00091,-0.00013,-0.00049,,,2081.11864,-0.00012,-0.00083,0.00446,0.0014,,,2081.11864,0.05145,0.00593,0.00094,0.01293,,,2081.11864,-0.00182,-0.0012,-0.0014,-0.00151
2079.18989,-0.001,-0.0001,-0.00048,,,2079.18989,-0.00018,-0.00074,0.00459,0.00143,,,2079.18989,0.05135,0.006,0.00109,0.01298,,,2079.18989,-0.00199,-0.00131,-0.00133,-0.00157
2077.26114,-0.00102,-0.00007,-0.00037,,,2077.26114,-0.00021,-0.00067,0.0047,0.00154,,,2077.26114,0.05121,0.00593,0.00123,0.01306,,,2077.26114,-0.00212,-0.0014,-0.00132,-0.00162
2075.3324,-0.001,-0.00002,-0.00027,,,2075.3324,-0.00023,-0.00062,0.00474,0.00166,,,2075.3324,0.05096,0.00592,0.00126,0.01311,,,2075.3324,-0.00208,-0.00143,-0.00133,-0.0017
2073.40365,-0.00098,-0.00004,-0.00026,,,2073.40365,-0.0002,-0.00062,0.00461,0.00164,,,2073.40365,0.05083,0.00602,0.00125,0.01306,,,2073.40365,-0.002,-0.00139,-0.00127,-0.00171
2071.4749,-0.00093,-0.00015,-0.00034,,,2071.4749,-0.00014,-0.00066,0.00434,0.00147,,,2071.4749,0.05083,0.00602,0.00118,0.01294,,,2071.4749,-0.00199,-0.0014,-0.00119,-0.00161
2069.54615,-0.00083,-0.00024,-0.00041,,,2069.54615,-0.00014,-0.00064,0.00419,0.00135,,,2069.54615,0.05082,0.00592,0.00113,0.01287,,,2069.54615,-0.00201,-0.00149,-0.00114,-0.0014
2067.6174,-0.00074,-0.00028,-0.00041,,,2067.6174,-0.00017,-0.00055,0.00424,0.00135,,,2067.6174,0.05069,0.00581,0.00115,0.0128,,,2067.6174,-0.0019,-0.00143,-0.00115,-0.00123
2065.68866,-0.00076,-0.00031,-0.00038,,,2065.68866,-0.00018,-0.00043,0.00428,0.00124,,,2065.68866,0.05048,0.00579,0.00115,0.01266,,,2065.68866,-0.00171,-0.00113,-0.00132,-0.00136
2063.75991,-0.00089,-0.0003,-0.00044,,,2063.75991,-0.00014,-0.00036,0.00423,0.00102,,,2063.75991,0.05031,0.00596,0.00104,0.01251,,,2063.75991,-0.00166,-0.001,-0.00151,-0.00171
2061.83116,-0.00099,-0.00025,-0.00049,,,2061.83116,-0.0001,-0.00041,0.00423,0.00103,,,2061.83116,0.05021,0.00613,0.00103,0.01254,,,2061.83116,-0.00182,-0.00123,-0.00157,-0.00184
2059.90241,-0.00092,-0.00021,-0.0004,,,2059.90241,-0.00019,-0.00046,0.00435,0.00132,,,2059.90241,0.05019,0.00607,0.00122,0.01271,,,2059.90241,-0.002,-0.00151,-0.0016,-0.00179
2057.97367,-0.0008,-0.00016,-0.00023,,,2057.97367,-0.00029,-0.00044,0.00444,0.00153,,,2057.97367,0.05024,0.00589,0.00136,0.01272,,,2057.97367,-0.00211,-0.00167,-0.00166,-0.00184
2056.04492,-0.00081,-0.00012,-0.00018,,,2056.04492,-0.00026,-0.00052,0.00443,0.00149,,,2056.04492,0.0501,0.00574,0.00133,0.01251,,,2056.04492,-0.0022,-0.00176,-0.00165,-0.00187
2054.11617,-0.00093,-0.00015,-0.00029,,,2054.11617,-0.00015,-0.00067,0.00435,0.00128,,,2054.11617,0.04971,0.00575,0.00123,0.01233,,,2054.11617,-0.00218,-0.00181,-0.0016,-0.00182
2052.18742,-0.00104,-0.00028,-0.00044,,,2052.18742,-0.00018,-0.00071,0.00417,0.00103,,,2052.18742,0.04928,0.00588,0.0011,0.01208,,,2052.18742,-0.00201,-0.0018,-0.00169,-0.00194
2050.25868,-0.00105,-0.00048,-0.00054,,,2050.25868,-0.00035,-0.00061,0.00399,0.00087,,,2050.25868,0.0489,0.00592,0.00094,0.01166,,,2050.25868,-0.00191,-0.00171,-0.00179,-0.00215
2048.32993,-0.00102,-0.00062,-0.00058,,,2048.32993,-0.00048,-0.00051,0.00392,0.00085,,,2048.32993,0.04855,0.00578,0.00086,0.01138,,,2048.32993,-0.00198,-0.0017,-0.00175,-0.00208
2046.40118,-0.00101,-0.00068,-0.00056,,,2046.40118,-0.00044,-0.00052,0.0039,0.00086,,,2046.40118,0.04814,0.00569,0.00082,0.01139,,,2046.40118,-0.00212,-0.00184,-0.00176,-0.00186
