,GOE,MnO2,MMT
2¦È/degree,Intensity,Intensity,Intensity
24.6022,2681,1071,3451
24.622,2640,1167,3479
24.6417,2557,1148,3558
24.6614,2708,1142,3435
24.6812,2709,1178,3558
24.7009,2611,1135,3513
24.7207,2587,1115,3457
24.7404,2699,1114,3550
24.7601,2679,1074,3492
24.7799,2650,1134,3480
24.7996,2638,1080,3518
24.8194,2581,1124,3567
24.8391,2619,1061,3619
24.8588,2663,1086,3525
24.8786,2551,1131,3414
24.8983,2656,1141,3476
24.9181,2579,1138,3565
24.9378,2615,1126,3501
24.9575,2580,1138,3624
24.9773,2559,1165,3491
24.997,2705,1169,3426
25.0168,2671,1131,3501
25.0365,2566,1122,3359
25.0562,2607,1110,3595
25.076,2677,1200,3396
25.0957,2718,1149,3493
25.1155,2589,1173,3517
25.1352,2571,1225,3579
25.1549,2617,1157,3614
25.1747,2600,1215,3552
25.1944,2596,1212,3661
25.2142,2514,1179,3615
25.2339,2619,1232,3628
25.2537,2563,1251,3792
25.2734,2620,1245,3866
25.2931,2638,1244,3916
25.3129,2624,1178,3764
25.3326,2558,1207,3927
25.3524,2565,1191,3957
25.3721,2703,1133,3991
25.3918,2589,1206,3931
25.4116,2534,1176,3901
25.4313,2643,1080,3907
25.4511,2715,1136,3933
25.4708,2615,1081,3937
25.4905,2673,1118,3816
25.5103,2671,1143,3883
25.53,2586,1059,3728
25.5498,2602,1099,3597
25.5695,2574,1077,3668
25.5892,2701,1087,3577
25.609,2629,1074,3433
25.6287,2556,1071,3581
25.6485,2624,1055,3512
25.6682,2619,1049,3422
25.6879,2639,1059,3318
25.7077,2669,1024,3420
25.7274,2522,1049,3374
25.7472,2649,1006,3347
25.7669,2651,1083,3344
25.7866,2643,1019,3343
25.8064,2666,1028,3291
25.8261,2616,1050,3292
25.8459,2576,1060,3137
25.8656,2694,1055,3220
25.8853,2587,980,3285
25.9051,2636,1088,3182
25.9248,2612,989,3265
25.9446,2692,1005,3244
25.9643,2718,1049,3285
25.984,2768,988,3287
26.0038,2764,1000,3304
26.0235,2759,1043,3348
26.0433,2827,1057,3325
26.063,2835,1002,3282
26.0827,2818,990,3285
26.1025,2908,1001,3360
26.1222,2927,1008,3311
26.142,3032,1021,3518
26.1617,2972,987,3406
26.1815,2990,1023,3513
26.2012,3114,993,3572
26.2209,3196,983,3703
26.2407,3364,1002,4006
26.2604,3337,1023,4113
26.2802,3370,1012,4144
26.2999,3405,1024,4233
26.3196,3503,1093,4733
26.3394,3419,1359,4670
26.3591,3340,1406,5186
26.3789,3383,1429,5690
26.3986,3324,1863,6549
26.4183,3277,1703,7945
26.4381,3318,1401,10509
26.4578,3156,1446,11479
26.4776,3100,1399,12061
26.4973,3040,1245,13593
26.517,2944,1123,14427
26.5368,2998,1054,14323
26.5565,2940,1028,14383
26.5763,2911,1085,13632
26.596,2815,1046,13050
26.6157,2732,1073,11996
26.6355,2713,1021,11242
26.6552,2662,966,10873
26.675,2641,953,10065
26.6947,2730,931,9228
26.7144,2559,959,9086
26.7342,2558,983,8593
26.7539,2683,960,7995
26.7737,2633,952,7757
26.7934,2575,969,6988
26.8131,2573,950,6429
26.8329,2638,1002,6103
26.8526,2624,971,5753
26.8724,2623,973,5206
26.8921,2562,968,4982
26.9118,2615,925,4768
26.9316,2659,962,4413
26.9513,2533,970,4256
26.9711,2505,944,4120
26.9908,2575,888,3905
27.0105,2535,928,3847
27.0303,2576,925,3712
27.05,2582,945,3579
27.0698,2562,895,3473
27.0895,2485,909,3400
27.1092,2489,934,3318
27.129,2574,898,3255
27.1487,2585,901,3228
27.1685,2623,928,3337
27.1882,2557,1007,3285
27.208,2506,911,3217
27.2277,2568,941,3319
27.2474,2551,945,3296
27.2672,2571,1017,3433
27.2869,2508,905,3354
27.3067,2468,964,3387
27.3264,2510,965,3322
27.3461,2666,933,3485
27.3659,2480,1031,3394
27.3856,2497,951,3383
27.4054,2533,1039,3400
27.4251,2514,1002,3399
27.4448,2602,1001,3448
27.4646,2574,1002,3438
27.4843,2554,979,3437
27.5041,2492,963,3423
27.5238,2532,976,3276
27.5435,2529,992,3471
27.5633,2471,1007,3462
27.583,2508,1040,3512
27.6028,2447,1063,3437
27.6225,2472,1029,3725
27.6422,2621,1074,3650
27.662,2485,1056,3767
27.6817,2574,1096,3634
27.7015,2455,1044,3704
27.7212,2548,1125,3877
27.7409,2505,1134,3903
27.7607,2431,1076,4034
27.7804,2479,1118,4769
27.8002,2440,1087,4230
27.8199,2506,1142,4042
27.8396,2534,1136,4098
27.8594,2589,1196,4016
27.8791,2464,1180,3764
27.8989,2501,1192,3578
27.9186,2533,1228,3411
27.9383,2580,1282,3295
27.9581,2539,1231,3321
27.9778,2603,1292,3426
27.9976,2580,1333,3168
28.0173,2458,1339,3177
28.037,2508,1445,3157
28.0568,2476,1474,3146
28.0765,2501,1416,2998
28.0963,2453,1532,3021
28.116,2481,1558,3004
28.1357,2497,1563,2911
28.1555,2579,1533,2895
28.1752,2473,1783,2754
28.195,2474,1786,2761
28.2147,2498,1906,2800
28.2345,2455,1967,2840
28.2542,2485,1978,2692
28.2739,2594,2214,2700
28.2937,2535,2399,2757
28.3134,2547,2627,2734
28.3332,2431,2962,2777
28.3529,2503,3518,2739
28.3726,2541,4131,2747
28.3924,2473,4715,2741
28.4121,2558,5475,2697
28.4319,2581,5933,2764
28.4516,2552,6230,2709
28.4713,2523,5898,2755
28.4911,2583,5980,2809
28.5108,2446,5813,2712
28.5306,2433,5320,2764
28.5503,2475,4962,2572
28.57,2508,4539,2695
28.5898,2499,3887,2597
28.6095,2470,3606,2623
28.6293,2472,3084,2630
28.649,2522,2821,2655
28.6687,2499,2512,2632
28.6885,2550,2181,2618
28.7082,2545,2075,2588
28.728,2503,1870,2603
28.7477,2488,1765,2687
28.7674,2497,1651,2611
28.7872,2550,1627,2539
28.8069,2459,1612,2571
28.8267,2602,1563,2553
28.8464,2544,1460,2536
28.8661,2509,1536,2541
28.8859,2515,1608,2521
28.9056,2473,1621,2604
28.9254,2572,1470,2621
28.9451,2497,1405,2652
28.9648,2532,1452,2611
28.9846,2616,1324,2627
29.0043,2515,1247,2587
29.0241,2501,1283,2605
29.0438,2535,1173,2521
29.0635,2470,1078,2474
29.0833,2543,1086,2501
29.103,2466,1074,2475
29.1228,2562,1098,2479
29.1425,2568,1021,2453
29.1623,2616,960,2441
29.182,2405,1026,2399
29.2017,2612,1019,2510
29.2215,2523,976,2500
29.2412,2514,906,2531
29.261,2620,952,2478
29.2807,2509,935,2510
29.3004,2447,922,2491
29.3202,2562,952,2483
29.3399,2516,944,2531
29.3597,2592,954,2520
29.3794,2488,905,2528
29.3991,2493,936,2555
29.4189,2518,934,2541
29.4386,2431,927,2541
29.4584,2385,917,2584
29.4781,2491,901,2507
29.4978,2452,881,2538
29.5176,2433,858,2434
29.5373,2549,884,2565
29.5571,2562,897,2580
29.5768,2513,897,2489
29.5965,2547,861,2573
29.6163,2497,895,2628
29.636,2460,855,2761
29.6558,2601,880,2843
29.6755,2489,858,2818
29.6952,2502,854,3020
29.715,2395,812,3102
29.7347,2474,859,3180
29.7545,2500,825,3279
29.7742,2456,909,3322
29.7939,2589,851,3533
29.8137,2485,854,3453
29.8334,2492,869,3360
29.8532,2476,854,3381
29.8729,2591,878,3399
29.8926,2564,820,3269
29.9124,2580,900,3182
29.9321,2567,863,3078
29.9519,2550,878,3126
29.9716,2574,826,3017
29.9913,2558,816,3140
30.0111,2665,862,3257
30.0308,2559,844,3042
30.0506,2539,845,2896
30.0703,2635,832,2919
30.09,2572,855,2872
30.1098,2537,847,2787
30.1295,2498,783,2751
30.1493,2546,859,2670
30.169,2433,824,2567
30.1888,2528,853,2507
30.2085,2542,869,2493
30.2282,2523,870,2447
30.248,2564,871,2493
30.2677,2490,856,2454
30.2875,2440,834,2369
30.3072,2570,823,2273
30.3269,2572,822,2340
30.3467,2430,836,2356
30.3664,2577,842,2297
30.3862,2511,800,2262
30.4059,2537,863,2218
30.4256,2498,804,2277
30.4454,2530,851,2332
30.4651,2623,854,2236
30.4849,2431,857,2285
30.5046,2539,762,2311
30.5243,2562,799,2262
30.5441,2493,798,2216
30.5638,2481,801,2223
30.5836,2410,841,2227
30.6033,2463,821,2330
30.623,2551,880,2258
30.6428,2510,832,2242
30.6625,2517,833,2186
30.6823,2547,779,2258
30.702,2550,830,2253
30.7217,2430,808,2261
30.7415,2500,824,2243
30.7612,2509,828,2260
30.781,2543,808,2201
30.8007,2532,772,2263
30.8204,2474,851,2103
30.8402,2513,854,2255
30.8599,2504,879,2225
30.8797,2465,887,2219
30.8994,2552,921,2209
30.9191,2635,942,2331
30.9389,2549,836,2221
30.9586,2470,861,2323
30.9784,2486,802,2198
30.9981,2488,875,2379
31.0178,2559,871,2440
31.0376,2596,841,2430
31.0573,2621,858,2537
31.0771,2552,794,2606
31.0968,2497,820,2625
31.1166,2489,824,2662
31.1363,2573,853,2736
31.156,2402,828,2675
31.1758,2483,758,2681
31.1955,2505,817,2819
31.2153,2602,847,2754
31.235,2465,844,2593
31.2547,2531,821,2589
31.2745,2615,813,2513
31.2942,2573,826,2468
31.314,2420,773,2454
31.3337,2554,791,2395
31.3534,2462,825,2299
31.3732,2528,840,2260
31.3929,2561,794,2201
31.4127,2538,837,2198
31.4324,2528,806,2159
31.4521,2585,839,2170
31.4719,2525,827,2037
31.4916,2515,781,2073
31.5114,2491,750,2110
31.5311,2517,774,2071
31.5508,2564,805,2030
31.5706,2617,830,1957
31.5903,2595,780,1997
31.6101,2475,779,2119
31.6298,2543,846,2026
31.6495,2587,776,2077
31.6693,2516,803,2073
31.689,2568,769,2069
31.7088,2493,811,2009
31.7285,2521,833,2098
31.7482,2550,831,2083
31.768,2543,817,2048
31.7877,2486,784,2155
31.8075,2543,814,2221
31.8272,2526,803,2125
31.8469,2465,794,2242
31.8667,2610,829,2239
31.8864,2534,777,2337
31.9062,2510,816,2402
31.9259,2445,841,2381
31.9456,2591,831,2366
31.9654,2619,859,2410
31.9851,2501,789,2487
32.0049,2557,826,2354
32.0246,2492,806,2349
32.0443,2493,848,2349
32.0641,2596,883,2268
32.0838,2529,833,2291
32.1036,2641,826,2224
32.1233,2645,818,2143
32.1431,2645,787,2124
32.1628,2543,830,2113
32.1825,2549,801,2033
32.2023,2615,771,2029
32.222,2590,846,2126
32.2418,2562,825,2026
32.2615,2524,807,1917
32.2812,2510,867,1906
32.301,2608,748,1920
32.3207,2625,832,1957
32.3405,2663,795,1862
32.3602,2618,862,1890
32.3799,2574,806,1885
32.3997,2629,798,1895
32.4194,2567,837,1886
32.4392,2607,863,1805
32.4589,2602,822,1974
32.4786,2630,818,1989
32.4984,2620,807,1927
32.5181,2748,820,1871
32.5379,2612,839,1826
32.5576,2695,840,1853
32.5773,2747,890,1884
32.5971,2679,886,1850
32.6168,2736,833,1861
32.6366,2673,845,1851
32.6563,2873,832,1866
32.676,2727,827,1819
32.6958,2782,859,1790
32.7155,2809,875,1825
32.7353,2819,850,1777
32.755,2810,871,1771
32.7747,2813,862,1852
32.7945,2895,818,1784
32.8142,2986,781,1750
32.834,3036,777,1834
32.8537,2954,814,1878
32.8734,3026,862,1724
32.8932,3061,834,1732
32.9129,3212,861,1722
32.9327,3332,802,1710
32.9524,3374,829,1749
32.9721,3546,868,1793
32.9919,3621,835,1756
33.0116,3697,871,1715
33.0314,3906,828,1722
33.0511,4058,912,1737
33.0708,4354,892,1752
33.0906,4545,867,1747
33.1103,4909,896,1767
33.1301,5149,854,1708
33.1498,5357,893,1792
33.1696,5625,859,1742
33.1893,5971,905,1720
33.209,6048,815,1729
33.2288,6363,868,1792
33.2485,6383,922,1789
33.2683,6405,908,1869
33.288,6326,909,1791
33.3077,6084,919,1800
33.3275,5817,851,1737
33.3472,5527,878,1688
33.367,5286,860,1779
33.3867,5010,867,1697
33.4064,4638,815,1807
33.4262,4729,881,1803
33.4459,4252,884,1698
33.4657,4007,911,1695
33.4854,3925,867,1748
33.5051,3605,873,1723
33.5249,3554,863,1785
33.5446,3451,878,1819
33.5644,3240,897,1765
33.5841,3257,853,1711
33.6038,3138,852,1756
33.6236,3084,915,1700
33.6433,3072,858,1802
33.6631,3061,893,1720
33.6828,2915,839,1786
33.7025,2881,880,1746
33.7223,2802,912,1770
33.742,2974,857,1775
33.7618,2880,917,1733
33.7815,2869,865,1733
33.8012,2799,884,1777
33.821,2890,861,1790
33.8407,2836,805,1776
33.8605,2733,860,1770
33.8802,2762,908,1755
33.8999,2723,887,1857
33.9197,2758,831,1759
33.9394,2825,918,1870
33.9592,2688,848,1812
33.9789,2839,929,1821
33.9986,2625,884,1845
34.0184,2733,921,1800
34.0381,2728,917,1827
34.0579,2704,910,1870
34.0776,2686,919,1849
34.0974,2706,939,1877
34.1171,2771,884,1856
34.1368,2711,917,1905
34.1566,2683,914,1950
34.1763,2613,905,1940
34.1961,2719,965,2023
34.2158,2667,959,2106
34.2355,2742,903,1960
34.2553,2838,863,2138
34.275,2735,918,2190
34.2948,2752,985,2283
34.3145,2812,949,2332
34.3342,2866,879,2355
34.354,2709,928,2452
34.3737,2791,938,2554
34.3935,2849,975,2620
34.4132,2879,918,2627
34.4329,2905,929,2712
34.4527,3041,937,2676
34.4724,3009,899,2911
34.4922,3104,965,2913
34.5119,3070,894,3037
34.5316,3134,948,3001
34.5514,3355,961,2964
34.5711,3576,973,3218
34.5909,3652,931,3063
34.6106,3830,925,3234
34.6303,4266,924,3242
34.6501,4605,902,3336
34.6698,4904,981,3526
34.6896,5169,924,3644
34.7093,5452,916,3591
34.729,5063,914,3583
34.7488,4964,942,3769
34.7685,4696,973,4069
34.7883,4561,957,3904
34.808,4265,962,4271
34.8277,3951,947,4133
34.8475,3849,958,4218
34.8672,3437,990,4211
34.887,3363,920,4292
34.9067,3145,943,4258
34.9264,3174,916,4382
34.9462,2973,967,4097
34.9659,3009,901,4048
34.9857,2973,900,3935
35.0054,2863,897,3816
35.0251,2889,966,3864
35.0449,2830,936,3786
35.0646,2818,892,3685
35.0844,2744,927,3488
35.1041,2833,948,3416
35.1239,2744,922,3233
35.1436,2843,932,3314
35.1633,2755,902,3175
35.1831,2851,905,3132
35.2028,2779,909,3225
35.2226,2813,905,3145
35.2423,2818,859,3208
35.262,2790,954,3124
35.2818,2771,978,3035
35.3015,2839,911,3003
35.3213,2892,947,3045
35.341,2919,947,2977
35.3607,2889,958,3051
35.3805,2962,868,3027
35.4002,3023,872,2926
35.42,3030,941,2892
35.4397,3142,934,2967
35.4594,3129,885,2916
35.4792,3229,909,2990
35.4989,3161,897,2938
35.5187,3130,887,2931
35.5384,3289,900,2762
35.5581,3252,960,2881
35.5779,3257,931,2930
35.5976,3119,903,2916
35.6174,2987,918,2881
35.6371,2926,914,2909
35.6568,3025,936,2934
35.6766,3027,939,2922
35.6963,3049,945,2882
35.7161,3038,975,2955
35.7358,2880,920,2977
35.7555,2911,982,2830
35.7753,3078,985,2912
35.795,2983,914,2886
35.8148,3078,907,3048
35.8345,3094,929,2929
35.8542,3118,965,3049
35.874,3171,906,3078
35.8937,3154,959,2951
35.9135,3358,1000,2919
35.9332,3477,958,2873
35.9529,3597,992,2901
35.9727,3784,980,2972
35.9924,3882,940,2894
36.0122,4035,1015,2831
36.0319,4174,1008,2785
36.0517,4293,950,2750
36.0714,4448,994,2786
36.0911,4382,984,2659
36.1109,4343,994,2664
36.1306,4277,972,2680
36.1504,4111,1009,2798
36.1701,4123,975,2708
36.1898,4002,1071,2790
36.2096,3849,1058,2798
36.2293,3669,1037,2722
36.2491,3636,1009,2856
36.2688,3700,1097,2859
36.2885,3539,1055,2944
36.3083,3680,1035,3017
36.328,3616,990,3107
36.3478,3704,1096,3272
36.3675,3849,1104,3331
36.3872,4084,1110,3449
36.407,4185,1098,3387
36.4267,4430,1100,3460
36.4465,4485,1142,3321
36.4662,5010,1190,3408
36.4859,5259,1186,3356
36.5057,5666,1145,3298
36.5254,6103,1168,3048
36.5452,6544,1208,2992
36.5649,7157,1279,2934
36.5846,7929,1277,2875
36.6044,8079,1305,2816
36.6241,8486,1358,2635
36.6439,8619,1468,2639
36.6636,9058,1419,2561
36.6833,8889,1499,2566
36.7031,8796,1551,2557
36.7228,8438,1681,2485
36.7426,7992,1758,2447
36.7623,7896,1851,2415
36.782,7151,1794,2396
36.8018,6534,1996,2479
36.8215,6056,1912,2381
36.8413,5562,1941,2420
36.861,5086,2067,2323
36.8807,4731,2100,2294
36.9005,4459,2212,2288
36.9202,4163,2291,2394
36.94,3912,2331,2332
36.9597,3678,2346,2280
36.9794,3650,2436,2274
36.9992,3400,2538,2306
37.0189,3260,2591,2248
37.0387,3134,2733,2318
37.0584,3144,2871,2214
37.0782,3025,2844,2221
37.0979,2955,2952,2249
37.1176,2939,3003,2221
37.1374,2913,3088,2216
37.1571,2850,3038,2319
37.1769,2796,3128,2240
37.1966,2734,3018,2276
37.2163,2736,3010,2349
37.2361,2679,2822,2228
37.2558,2646,2672,2312
37.2756,2669,2505,2321
37.2953,2583,2417,2350
37.315,2599,2300,2286
37.3348,2569,2256,2387
37.3545,2559,2200,2326
37.3743,2606,2041,2441
37.394,2633,1900,2298
37.4137,2526,1840,2385
37.4335,2603,1668,2352
37.4532,2462,1739,2360
37.473,2493,1614,2366
37.4927,2533,1600,2383
37.5124,2471,1592,2386
37.5322,2450,1507,2408
37.5519,2523,1426,2451
37.5717,2445,1357,2493
37.5914,2429,1400,2510
37.6111,2418,1353,2491
37.6309,2460,1352,2496
37.6506,2457,1306,2462
37.6704,2412,1299,2451
37.6901,2438,1214,2386
37.7098,2465,1276,2303
37.7296,2397,1214,2323
37.7493,2385,1114,2357
37.7691,2446,1208,2247
37.7888,2468,1172,2277
37.8085,2449,1192,2223
37.8283,2463,1124,2215
37.848,2365,1152,2212
37.8678,2373,1092,2134
37.8875,2495,1101,2153
37.9072,2296,1133,2118
37.927,2357,1061,2070
37.9467,2376,1092,2069
37.9665,2401,1104,2110
37.9862,2466,1094,2086
38.006,2376,1142,2071
38.0257,2375,1053,1995
38.0454,2322,1103,2002
38.0652,2371,1033,2037
38.0849,2386,1084,2058
38.1047,2356,1037,1948
38.1244,2351,1030,2001
38.1441,2346,1098,2002
38.1639,2415,1052,2049
38.1836,2356,1113,2049
38.2034,2326,1074,2093
38.2231,2292,1049,2087
38.2428,2344,993,2109
38.2626,2350,1021,2051
38.2823,2421,997,1946
38.3021,2261,1037,1961
38.3218,2337,997,1978
38.3415,2292,963,2008
38.3613,2262,999,1961
38.381,2341,971,1930
38.4008,2325,970,1995
38.4205,2217,931,1862
38.4402,2310,1038,1862
38.46,2272,1012,1998
38.4797,2334,974,1994
38.4995,2320,935,1927
38.5192,2299,913,1875
38.5389,2428,1010,2033
38.5587,2252,881,1924
38.5784,2285,884,1791
38.5982,2333,968,1884
38.6179,2437,966,1921
38.6376,2394,920,1843
38.6574,2372,971,1848
38.6771,2325,914,1913
38.6969,2457,930,1828
38.7166,2424,969,1951
38.7363,2359,937,1834
38.7561,2446,916,1869
38.7758,2309,1003,1895
38.7956,2365,932,1859
38.8153,2426,932,1867
38.835,2410,897,1874
38.8548,2485,899,1837
38.8745,2395,898,1816
38.8943,2485,838,1831
38.914,2421,849,1881
38.9337,2414,838,1835
38.9535,2464,828,1843
38.9732,2429,828,1910
38.993,2428,865,1867
39.0127,2403,826,1881
39.0325,2576,830,1827
39.0522,2456,784,1827
39.0719,2492,785,1848
39.0917,2584,815,1881
39.1114,2573,836,1850
39.1312,2514,784,1975
39.1509,2531,831,2002
39.1706,2480,834,1908
39.1904,2514,878,1898
39.2101,2438,792,1968
39.2299,2499,848,1952
39.2496,2480,833,2067
39.2693,2405,828,2133
39.2891,2404,820,2168
39.3088,2417,773,2281
39.3286,2413,756,2424
39.3483,2451,775,2419
39.368,2348,748,2454
39.3878,2354,805,2247
39.4075,2391,764,2230
39.4273,2360,748,2282
39.447,2365,744,2379
39.4667,2409,748,2384
39.4865,2259,739,2289
39.5062,2314,729,2174
39.526,2350,755,2067
39.5457,2426,812,2082
39.5654,2301,774,2166
39.5852,2387,774,2105
39.6049,2554,711,2084
39.6247,2407,793,1996
39.6444,2430,779,1834
39.6641,2475,770,1873
39.6839,2511,816,1872
39.7036,2506,778,1957
39.7234,2618,807,1865
39.7431,2715,763,1868
39.7628,2643,737,1876
39.7826,2678,757,1879
39.8023,2717,770,1949
39.8221,2978,781,1861
39.8418,3017,795,1952
39.8615,3030,785,1886
39.8813,3237,754,1995
39.901,3451,795,1870
39.9208,3314,739,1915
39.9405,3572,747,1951
39.9602,3570,808,1900
39.98,3589,808,1996
39.9997,3600,806,1992
40.0195,3564,793,2055
40.0392,3651,820,2103
40.059,3625,823,2154
40.0787,3520,804,2116
40.0984,3359,783,2203
40.1182,3234,807,2314
40.1379,3203,831,2412
40.1577,3033,872,2444
40.1774,2993,875,2498
40.1971,2902,873,2380
40.2169,2925,813,2319
40.2366,2794,879,2344
40.2564,2689,895,2370
40.2761,2673,870,2287
40.2958,2604,913,2266
40.3156,2540,991,2183
40.3353,2471,888,2214
40.3551,2547,967,2122
40.3748,2496,963,1944
40.3945,2478,948,1953
40.4143,2507,990,1967
40.434,2452,968,1963
40.4538,2511,1020,1908
40.4735,2371,1026,1862
40.4932,2353,1030,1802
40.513,2386,1018,1786
40.5327,2411,1000,1816
40.5525,2315,1020,1757
40.5722,2441,1040,1785
40.5919,2353,1039,1831
40.6117,2429,1083,1797
40.6314,2365,1072,1776
40.6512,2380,1011,1821
40.6709,2358,1043,1833
40.6906,2351,1027,1851
40.7104,2373,1052,1845
40.7301,2298,1053,1863
40.7499,2352,1063,1821
40.7696,2408,1061,1878
40.7893,2262,1094,1831
40.8091,2466,1034,1820
40.8288,2438,1018,1840
40.8486,2394,1014,1872
40.8683,2539,1004,1898
40.888,2526,1041,1796
40.9078,2641,978,1831
40.9275,2533,941,1804
40.9473,2671,916,1767
40.967,2672,944,1780
40.9868,2773,906,1804
41.0065,2992,910,1828
41.0262,3097,907,1932
41.046,3160,814,1933
41.0657,3370,905,1832
41.0855,3472,809,1812
41.1052,3644,816,1809
41.1249,3833,843,1793
41.1447,3742,819,1798
41.1644,4146,817,1879
41.1842,4153,798,1818
41.2039,4202,831,1800
41.2236,4018,813,1752
41.2434,4043,780,1857
41.2631,4008,749,1820
41.2829,3791,740,1802
41.3026,3660,778,1766
41.3223,3579,834,1724
41.3421,3479,811,1817
41.3618,3279,821,1782
41.3816,3023,817,1767
41.4013,2971,785,1712
41.421,2810,828,1734
41.4408,2892,823,1747
41.4605,2729,803,1719
41.4803,2626,834,1658
41.5,2560,858,1693
41.5197,2520,827,1698
41.5395,2443,866,1775
41.5592,2450,901,1704
41.579,2368,874,1659
41.5987,2345,837,1644
41.6184,2376,901,1744
41.6382,2376,845,1754
41.6579,2355,888,1800
41.6777,2322,861,1758
41.6974,2305,905,1704
41.7171,2325,923,1819
41.7369,2362,868,1805
41.7566,2308,942,1838
41.7764,2296,941,1789
41.7961,2264,951,1797
41.8158,2220,956,1832
41.8356,2176,901,1878
41.8553,2291,890,1848
41.8751,2206,984,1965
41.8948,2285,993,1965
41.9145,2277,931,1960
41.9343,2297,988,2023
41.954,2264,1008,1968
41.9738,2255,1046,1930
41.9935,2212,1057,1968
42.0133,2254,1083,1993
42.033,2221,1113,1970
42.0527,2219,1065,1999
42.0725,2229,1148,2029
42.0922,2218,1209,2020
42.112,2217,1183,2044
42.1317,2196,1261,2020
42.1514,2258,1210,2005
42.1712,2273,1316,2185
42.1909,2217,1376,2271
42.2107,2217,1404,2467
42.2304,2134,1391,2704
42.2501,2230,1418,2888
42.2699,2155,1463,2734
42.2896,2187,1510,2903
42.3094,2224,1664,2916
42.3291,2275,1961,2914
42.3488,2256,2054,3055
42.3686,2163,1895,2954
42.3883,2172,1637,2746
42.4081,2220,1693,2539
42.4278,2297,1773,2531
42.4475,2195,1861,2454
42.4673,2214,1893,2363
42.487,2165,1791,2267
42.5068,2258,1696,2064
42.5265,2196,1808,1972
42.5462,2175,1666,1970
42.566,2175,1761,1941
42.5857,2332,1720,1982
42.6055,2182,1711,1782
42.6252,2206,1687,1784
42.6449,2234,1569,1750
42.6647,2252,1569,1768
42.6844,2246,1476,1810
42.7042,2217,1424,1695
42.7239,2236,1423,1703
42.7436,2293,1316,1688
42.7634,2205,1290,1685
42.7831,2265,1260,1659
42.8029,2177,1095,1652
42.8226,2168,1150,1650
42.8423,2139,1052,1640
42.8621,2297,1051,1592
42.8818,2202,1059,1638
42.9016,2224,1012,1542
42.9213,2216,967,1700
42.9411,2323,931,1684
42.9608,2244,910,1730
42.9805,2123,887,1616
43.0003,2232,862,1624
43.02,2297,812,1598
43.0398,2126,845,1576
43.0595,2230,844,1552
43.0792,2216,812,1621
43.099,2251,801,1681
43.1187,2222,758,1681
43.1385,2217,804,1595
43.1582,2326,788,1602
43.1779,2290,849,1545
43.1977,2212,755,1586
43.2174,2280,785,1585
43.2372,2326,804,1659
43.2569,2343,730,1575
43.2766,2280,743,1573
43.2964,2366,729,1603
43.3161,2275,732,1699
43.3359,2255,730,1637
43.3556,2211,761,1612
43.3753,2352,663,1623
43.3951,2295,732,1642
43.4148,2315,682,1647
43.4346,2181,686,1693
43.4543,2163,663,1628
43.474,2181,716,1598
43.4938,2196,646,1655
43.5135,2225,655,1630
43.5333,2194,661,1660
43.553,2198,682,1600
43.5727,2167,614,1649
43.5925,2126,663,1581
43.6122,2199,640,1550
43.632,2169,628,1586
43.6517,2152,619,1614
43.6714,2270,638,1568
43.6912,2131,657,1582
43.7109,2199,600,1652
43.7307,2150,584,1604
43.7504,2149,602,1613
43.7701,2079,587,1626
43.7899,2129,623,1592
43.8096,2103,593,1650
43.8294,2101,576,1641
43.8491,2167,581,1600
43.8688,2171,560,1710
43.8886,2206,548,1690
43.9083,2145,549,1689
43.9281,2123,610,1625
43.9478,2239,596,1624
43.9676,2195,584,1618
43.9873,2191,615,1660
44.007,2198,551,1660
44.0268,2257,599,1635
44.0465,2170,539,1685
44.0663,2192,591,1678
44.086,2196,582,1594
44.1057,2188,622,1640
44.1255,2082,587,1628
44.1452,2141,554,1664
44.165,2114,593,1636
44.1847,2172,557,1630
44.2044,2147,533,1555
44.2242,2239,537,1574
44.2439,2209,586,1690
44.2637,2131,575,1554
44.2834,2165,513,1551
44.3031,2207,561,1530
44.3229,2115,567,1619
44.3426,2254,573,1580
44.3624,2118,522,1527
44.3821,2120,546,1589
44.4018,2127,571,1575
44.4216,2270,504,1618
44.4413,2185,496,1591
44.4611,2068,607,1580
44.4808,2119,590,1504
44.5005,2135,578,1533
44.5203,2184,551,1513
44.54,2087,555,1523
44.5598,2141,528,1565
44.5795,2235,569,1464
44.5992,2071,535,1473
44.619,2161,556,1492
44.6387,2142,575,1543
44.6585,2126,532,1521
44.6782,2141,540,1529
44.6979,2134,517,1551
44.7177,2091,535,1647
44.7374,2126,511,1459
44.7572,2175,570,1583
44.7769,2211,524,1527
44.7966,2176,535,1537
44.8164,2126,560,1571
44.8361,2269,546,1559
44.8559,2195,537,1562
44.8756,2299,523,1560
44.8954,2271,527,1494
44.9151,2334,520,1584
44.9348,2336,512,1581
44.9546,2360,525,1617
44.9743,2372,567,1519
44.9941,2456,564,1641
45.0138,2427,516,1698
45.0335,2346,524,1694
45.0533,2436,534,1683
45.073,2393,558,1640
45.0928,2487,530,1802
45.1125,2435,499,1739
45.1322,2407,565,1815
45.152,2401,515,1863
45.1717,2397,537,1813
45.1915,2251,588,1936
45.2112,2310,568,1961
45.2309,2269,580,2137
45.2507,2271,512,2304
45.2704,2255,566,2450
45.2902,2238,556,2555
45.3099,2218,581,2707
45.3296,2129,535,2642
45.3494,2133,610,2746
45.3691,2178,556,2749
