,GOE,MnO2,MMT
2¦È/degree,Intensity,Intensity,Intensity
9.4811,2952,2060,2757
9.5008,2962,2069,2766
9.5206,2972,1967,2722
9.5403,3100,2081,2677
9.56,2996,2049,2631
9.5798,3001,1989,2733
9.5995,3028,1990,2747
9.6193,3023,1973,2686
9.639,2956,1984,2705
9.6587,2998,2012,2665
9.6785,3075,2001,2587
9.6982,2976,2048,2566
9.718,3057,1894,2678
9.7377,3008,2023,2628
9.7574,2893,1893,2713
9.7772,2974,1954,2635
9.7969,2933,1969,2605
9.8167,2998,1909,2697
9.8364,2982,1969,2577
9.8561,2978,2006,2603
9.8759,2866,1958,2595
9.8956,2995,1956,2627
9.9154,2929,1947,2614
9.9351,2933,2033,2612
9.9548,3043,1948,2665
9.9746,2990,1962,2600
9.9943,2941,1877,2615
10.0141,2911,1935,2586
10.0338,2978,2083,2562
10.0535,3019,2000,2528
10.0733,2995,1869,2635
10.093,2934,1948,2493
10.1128,2925,1961,2480
10.1325,2904,1854,2472
10.1522,2945,1832,2518
10.172,2892,1931,2543
10.1917,2931,1940,2482
10.2115,2979,1963,2522
10.2312,2956,1878,2508
10.2509,3047,1934,2430
10.2707,2950,1898,2473
10.2904,2881,1982,2582
10.3102,2967,1940,2506
10.3299,2818,1865,2489
10.3496,2888,1879,2559
10.3694,2867,1895,2481
10.3891,2888,1888,2466
10.4089,2948,1809,2429
10.4286,3009,1777,2498
10.4484,2895,1821,2548
10.4681,2843,1824,2483
10.4878,2765,1910,2471
10.5076,2855,1854,2491
10.5273,2886,1841,2598
10.5471,2910,1803,2425
10.5668,2799,1782,2429
10.5865,2879,1776,2532
10.6063,2868,1890,2384
10.626,2887,1836,2404
10.6458,2898,1873,2483
10.6655,2826,1819,2492
10.6852,2857,1759,2463
10.705,2966,1812,2405
10.7247,2888,1750,2469
10.7445,2937,1790,2499
10.7642,2819,1845,2483
10.7839,2841,1755,2413
10.8037,2938,1772,2438
10.8234,2882,1787,2451
10.8432,2879,1816,2476
10.8629,2968,1731,2471
10.8826,2882,1782,2378
10.9024,2966,1857,2510
10.9221,2922,1720,2387
10.9419,2888,1728,2418
10.9616,2953,1743,2395
10.9813,2885,1757,2422
11.0011,2952,1731,2402
11.0208,2880,1683,2482
11.0406,2902,1744,2417
11.0603,2874,1782,2360
11.08,2858,1793,2385
11.0998,2883,1760,2480
11.1195,2869,1730,2459
11.1393,2929,1700,2376
11.159,2799,1734,2438
11.1787,2810,1647,2450
11.1985,2855,1752,2367
11.2182,2786,1730,2266
11.238,2932,1770,2454
11.2577,2805,1703,2408
11.2774,2866,1808,2420
11.2972,2844,1715,2351
11.3169,2840,1712,2334
11.3367,2918,1647,2370
11.3564,2838,1783,2382
11.3761,2867,1763,2449
11.3959,2885,1645,2369
11.4156,2812,1684,2347
11.4354,2914,1697,2381
11.4551,2893,1629,2350
11.4749,2947,1760,2454
11.4946,2962,1668,2435
11.5143,2871,1728,2433
11.5341,2998,1673,2446
