Abs,0h,24h,24h/0h (At/A0)
GOE,3.0455 ,2.4558,0.8064 
,3.0632 ,2.4293,0.7931 
,3.0789 ,2.4196,0.7859 
GOE+Glomalin,3.1831 ,0.1622 ,0.0510 
,3.1991 ,0.1810 ,0.0566 
,3.2164 ,0.1645 ,0.0511 
GOE+HA,4.1582 ,3.9670 ,0.9540 
,4.0282 ,4.0128 ,0.9962 
,3.9810 ,3.9198 ,0.9846 
GOE+BSA,3.0235 ,3.6464,1.2060 
,3.0532 ,3.6633,1.1998 
,3.0162 ,3.6741,1.2181 
MnO2,1.0125 ,0.6116,0.6040 
,1.0069 ,0.6127,0.6085 
,1.0062 ,0.6138,0.6100 
MnO2+Glomalin,0.8648 ,0.0699 ,0.0808 
,0.8500 ,0.0662 ,0.0779 
,0.8506 ,0.0275 ,0.0323 
MnO2+HA,2.0743 ,1.7011 ,0.8201 
,2.0828 ,2.1876,1.0503 
,2.3347 ,2.1868,0.9367 
MnO2+BSA,0.7999 ,0.5131 ,0.6415 
,0.8137 ,0.3955 ,0.4861 
,0.8152 ,0.3869 ,0.4746 
MMT,0.3833 ,0.3193 ,0.8330 
,0.3817 ,0.3303 ,0.8653 
,0.3906 ,0.3227 ,0.8262 
MMT+Glomalin,0.4360 ,0.0836 ,0.1918 
,0.4342 ,0.0305 ,0.0703 
,0.4355 ,0.0940 ,0.2160 
MMT+HA,1.6517 ,1.3031 ,0.7889 
,1.6790 ,1.3058 ,0.7777 
,1.6039 ,1.426,0.8891 
MMT+BSA,0.2641 ,0.2459,0.9311 
,0.2569 ,0.2441,0.9502 
,0.2571 ,0.2409,0.9370 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
